Timestamp, Client ID, Message Received
282, 1, $R233 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
283, 0, $R281 $UPP+0+315+210+1+0+0 $UPP+0+315+210+1+0+0 $UPP+0+315+235+1+0+0 $UPP+0+315+235+1+0+0
283, 1, $R234 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
284, 0, $R282 $UPP+0+315+250+1+0+0 $UPP+0+315+250+1+0+0 $UPP+0+315+256+1+0+0 $UPP+0+315+256+1+0+0
284, 1, $R235 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
285, 0, $R283 $UPP+0+315+252+1+0+0 $UPP+0+315+252+1+0+0 $UPP+0+315+238+1+0+0 $UPP+0+315+238+1+0+0
285, 1, $R236 $UPP+1+590+175+0+0+0
286, 0, $R284 $UPP+0+315+214+1+0+0 $UPP+0+315+214+1+0+0
286, 1, $R237 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
287, 0, $R285 $UPP+0+315+180+1+0+0 $UPP+0+315+180+1+0+0 $UPP+0+320+175+1+0+0 $UPP+0+320+175+1+0+0
287, 1, $R238 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
288, 0, $R286 $UPP+0+320+175+1+3+0 $UPP+0+320+175+1+3+0 $UPP+0+320+175+1+0+0 $UPP+0+320+175+1+0+0
288, 1, $R239 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
289, 0, $R287 $UPP+0+335+175+1+0+0 $UPP+0+335+175+1+0+0 $UPP+0+335+175+1+0+0 $UPP+0+335+175+1+0+0
289, 1, $R240 $UPP+1+590+175+0+0+0
290, 0, $R288 $UPP+0+335+175+1+0+0 $UPP+0+335+175+1+0+0 $UPP+0+335+175+1+0+0 $UPP+0+335+175+1+0+0
290, 1, $R241 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
291, 0, $R289 $UPP+0+335+175+1+3+0 $UPP+0+335+175+1+3+0
291, 1, $R242 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
292, 0, $R290 $UPP+0+335+175+0+0+0 $UPP+0+335+175+0+0+0 $UPP+0+320+175+0+0+0 $UPP+0+320+175+0+0+0
292, 1, $R243 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
293, 0, $R291 $UPP+0+305+175+0+0+0 $UPP+0+305+175+0+0+0 $UPP+0+320+175+1+0+0 $UPP+0+320+175+1+0+0
293, 1, $R244 $UPP+1+590+175+0+0+0
294, 0, $R292 $UPP+0+320+175+1+3+0 $UPP+0+320+175+1+3+0 $UPP+0+320+175+1+0+0 $UPP+0+320+175+1+0+0
294, 1, $R245 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
295, 0, $R293 $UPP+0+335+175+1+0+0 $UPP+0+335+175+1+0+0 $UPP+0+350+175+1+0+0 $UPP+0+350+175+1+0+0
295, 1, $R246 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
296, 0, $R294 $UPP+0+365+175+1+0+0 $UPP+0+365+175+1+0+0 $UPP+0+365+175+1+0+0 $UPP+0+365+175+1+0+0
296, 1, $R247 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
297, 0, $R295 $UPP+0+365+175+0+3+0 $UPP+0+365+175+0+3+0
297, 1, $R248 $UPP+1+590+175+0+0+0
298, 0, $R296 $UPP+0+365+175+0+3+0 $UPP+0+365+175+0+3+0 $UPP+0+380+175+1+0+0 $UPP+0+380+175+1+0+0
298, 1, $R249 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
299, 0, $R297 $UPP+0+380+175+1+0+0 $UPP+0+380+175+1+0+0 $UPP+0+380+175+1+0+0 $UPP+0+380+175+1+0+0
299, 1, $R250 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
300, 0, $R298 $UPP+0+380+175+0+3+0 $UPP+0+380+175+0+3+0 $UPP+0+380+175+0+3+0 $UPP+0+380+175+0+3+0
300, 1, $R251 $UPP+1+590+175+0+0+0
301, 0, $R299 $UPP+0+395+175+1+0+0 $UPP+0+395+175+1+0+0 $UPP+0+410+175+1+0+0 $UPP+0+410+175+1+0+0
301, 1, $R252 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
302, 0, $R300 $UPP+0+425+175+1+0+0 $UPP+0+425+175+1+0+0 $UPP+0+440+175+1+0+0 $UPP+0+440+175+1+0+0
302, 1, $R253 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
303, 0, $R301 $UPP+0+440+175+0+3+0 $UPP+0+440+175+0+3+0
303, 1, $R254 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
